AIR_FUEL_RATIO,AIR_INTAKE_TEMP,AMBIENT_AIR_TEMP,BAROMETRIC_PRESSURE,CONTROL_MODULE_VOLTAGE,DISTANCE_TRAVELED_MIL_ON,DTC_NUMBER,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_OIL_TEMP,ENGINE_RPM,ENGINE_RUNTIME,EQUIV_RATIO,FUEL_CONSUMPTION_RATE,FUEL_LEVEL,FUEL_PRESSURE,FUEL_RAIL_PRESSURE,FUEL_TYPE,INTAKE_MANIFOLD_PRESSURE,Long Term Fuel Trim Bank 1,Long Term Fuel Trim Bank 2,MAF,SPEED,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 2,THROTTLE_POS,TIMING_ADVANCE,VIN,WIDEBAND_AIR_FUEL_RATIO
14.70:1 AFR,48C,43C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,45.5%,NODATA,1217RPM,00:10:46,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,52kPa,-5.5%,NODATA,NODATA,34km/h,-2.3%,NODATA,19.6%,62.4%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.73:1 AFR
14.70:1 AFR,49C,43C,94kPa,13.0V,0km,MIL is OFF0 codes,84C,43.9%,NODATA,1212RPM,00:11:01,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,39kPa,-5.5%,NODATA,NODATA,36km/h,-2.3%,NODATA,19.6%,63.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.71:1 AFR
14.70:1 AFR,49C,43C,94kPa,12.0V,0km,MIL is OFF0 codes,83C,55.7%,NODATA,818RPM,00:11:23,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,47kPa,-5.5%,NODATA,NODATA,8km/h,-0.8%,NODATA,19.6%,53.7%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.40:1 AFR
14.70:1 AFR,50C,43C,94kPa,12.0V,0km,MIL is OFF0 codes,83C,53.7%,NODATA,1088RPM,00:11:38,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,47kPa,-5.5%,NODATA,NODATA,6km/h,0.8%,NODATA,20.4%,55.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.72:1 AFR
14.70:1 AFR,50C,44C,94kPa,13.0V,0km,MIL is OFF0 codes,84C,76.9%,NODATA,1518RPM,00:12:00,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,63kPa,-5.5%,NODATA,NODATA,9km/h,0.0%,NODATA,20.4%,65.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.81:1 AFR
14.70:1 AFR,50C,45C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,94.1%,NODATA,1689RPM,00:12:15,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,91kPa,1.6%,NODATA,NODATA,28km/h,2.3%,NODATA,30.2%,54.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.53:1 AFR
14.70:1 AFR,50C,45C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,91.4%,NODATA,1662RPM,00:12:22,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,55kPa,0.8%,NODATA,NODATA,32km/h,-0.8%,NODATA,27.8%,54.9%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.37:1 AFR
14.70:1 AFR,50C,45C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,44.7%,NODATA,1212RPM,00:12:30,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,39kPa,-5.5%,NODATA,NODATA,14km/h,0.0%,NODATA,19.6%,63.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.73:1 AFR
14.70:1 AFR,51C,44C,94kPa,14.0V,0km,MIL is OFF0 codes,83C,36.5%,NODATA,1471RPM,00:13:29,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,86kPa,-3.9%,NODATA,NODATA,36km/h,-1.6%,NODATA,24.3%,65.9%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,15.05:1 AFR
14.70:1 AFR,51C,44C,94kPa,13.0V,0km,MIL is OFF0 codes,84C,60.8%,NODATA,1250RPM,00:13:44,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,85kPa,-3.9%,NODATA,NODATA,40km/h,1.6%,NODATA,21.6%,60.4%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.73:1 AFR
14.70:1 AFR,52C,44C,93kPa,13.0V,0km,MIL is OFF0 codes,85C,88.2%,NODATA,1315RPM,00:13:59,0.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,84kPa,1.6%,NODATA,NODATA,38km/h,-1.6%,NODATA,25.9%,63.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.58:1 AFR
14.70:1 AFR,51C,43C,93kPa,13.0V,0km,MIL is OFF0 codes,85C,58.8%,NODATA,1259RPM,00:14:05,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,33kPa,-4.7%,NODATA,NODATA,40km/h,-0.8%,NODATA,21.6%,57.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,15.05:1 AFR
14.70:1 AFR,52C,43C,94kPa,14.0V,0km,MIL is OFF0 codes,84C,36.1%,NODATA,1241RPM,00:14:50,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,41kPa,-3.9%,NODATA,NODATA,37km/h,0.0%,NODATA,19.6%,65.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.75:1 AFR
14.70:1 AFR,53C,43C,94kPa,13.0V,0km,MIL is OFF0 codes,83C,86.3%,NODATA,1341RPM,00:15:13,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,39kPa,-1.6%,NODATA,NODATA,31km/h,-3.1%,NODATA,24.7%,64.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.51:1 AFR
14.70:1 AFR,53C,43C,94kPa,13.0V,0km,MIL is OFF0 codes,84C,61.6%,NODATA,1526RPM,00:15:27,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,40kPa,-5.5%,NODATA,NODATA,10km/h,0.8%,NODATA,20.0%,59.2%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.77:1 AFR
14.70:1 AFR,53C,43C,94kPa,12.0V,0km,MIL is OFF0 codes,84C,54.9%,NODATA,1332RPM,00:15:49,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,36kPa,-3.9%,NODATA,NODATA,16km/h,0.8%,NODATA,21.2%,60.0%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.52:1 AFR
14.70:1 AFR,53C,44C,94kPa,12.0V,0km,MIL is OFF0 codes,84C,45.9%,NODATA,1107RPM,00:16:04,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,48kPa,-5.5%,NODATA,NODATA,4km/h,3.9%,NODATA,19.6%,62.0%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.52:1 AFR
14.70:1 AFR,53C,45C,94kPa,12.0V,0km,MIL is OFF0 codes,85C,59.2%,NODATA,821RPM,00:16:19,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,52kPa,-3.9%,NODATA,NODATA,6km/h,0.8%,NODATA,19.6%,53.7%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.37:1 AFR
14.70:1 AFR,54C,45C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,42.4%,NODATA,1478RPM,00:16:41,0.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,89kPa,2.3%,NODATA,NODATA,29km/h,-1.6%,NODATA,29.8%,62.4%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,15.03:1 AFR
14.70:1 AFR,53C,45C,93kPa,13.0V,0km,MIL is OFF0 codes,85C,91.4%,NODATA,1247RPM,00:16:56,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,47kPa,-1.6%,NODATA,NODATA,39km/h,-6.3%,NODATA,24.7%,53.7%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,15.23:1 AFR
14.70:1 AFR,54C,45C,93kPa,13.0V,0km,MIL is OFF0 codes,83C,47.1%,NODATA,1189RPM,00:17:18,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,89kPa,-3.9%,NODATA,NODATA,29km/h,-0.8%,NODATA,19.6%,62.7%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.65:1 AFR
14.70:1 AFR,53C,43C,94kPa,14.0V,0km,MIL is OFF0 codes,85C,90.6%,NODATA,1632RPM,00:18:02,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,80kPa,1.6%,NODATA,NODATA,47km/h,0.8%,NODATA,27.5%,61.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.69:1 AFR
14.70:1 AFR,53C,42C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,42.4%,NODATA,1367RPM,00:18:17,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,35kPa,-5.5%,NODATA,NODATA,57km/h,0.0%,NODATA,20.0%,64.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.69:1 AFR
14.70:1 AFR,53C,41C,94kPa,13.0V,0km,MIL is OFF0 codes,83C,45.9%,NODATA,1166RPM,00:18:32,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,34kPa,-5.5%,NODATA,NODATA,16km/h,2.3%,NODATA,20.0%,62.0%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.66:1 AFR
14.70:1 AFR,54C,41C,94kPa,13.0V,0km,MIL is OFF0 codes,83C,59.2%,NODATA,1516RPM,00:18:46,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,89kPa,-0.8%,NODATA,NODATA,23km/h,-2.3%,NODATA,25.9%,58.4%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.79:1 AFR
14.70:1 AFR,53C,41C,94kPa,13.0V,0km,MIL is OFF0 codes,84C,93.3%,NODATA,1547RPM,00:18:55,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,88kPa,2.3%,NODATA,NODATA,36km/h,2.3%,NODATA,32.2%,55.7%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.63:1 AFR
14.70:1 AFR,54C,42C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,59.2%,NODATA,1532RPM,00:19:09,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,68kPa,-3.9%,NODATA,NODATA,35km/h,3.1%,NODATA,23.9%,59.2%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.60:1 AFR
14.70:1 AFR,54C,42C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,87.8%,NODATA,1252RPM,00:19:16,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,80kPa,0.0%,NODATA,NODATA,37km/h,-4.7%,NODATA,23.9%,51.8%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.68:1 AFR
14.70:1 AFR,54C,42C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,91.8%,NODATA,1415RPM,00:19:24,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,85kPa,2.3%,NODATA,NODATA,41km/h,0.8%,NODATA,29.0%,56.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.64:1 AFR
14.70:1 AFR,53C,42C,94kPa,14.0V,0km,MIL is OFF0 codes,85C,65.5%,NODATA,1243RPM,00:19:39,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,49kPa,-0.8%,NODATA,NODATA,42km/h,-4.7%,NODATA,24.7%,58.4%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.80:1 AFR
14.70:1 AFR,53C,41C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,91.0%,NODATA,1879RPM,00:20:00,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,79kPa,-1.6%,NODATA,NODATA,52km/h,-1.6%,NODATA,29.0%,57.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.66:1 AFR
14.70:1 AFR,53C,41C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,89.0%,NODATA,1579RPM,00:20:23,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,87kPa,2.3%,NODATA,NODATA,47km/h,-2.3%,NODATA,25.9%,59.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.95:1 AFR
14.70:1 AFR,53C,41C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,83.1%,NODATA,1261RPM,00:20:45,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,85kPa,0.8%,NODATA,NODATA,46km/h,-4.7%,NODATA,26.3%,56.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.75:1 AFR
14.70:1 AFR,53C,40C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,44.7%,NODATA,1257RPM,00:20:53,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,87kPa,-2.3%,NODATA,NODATA,45km/h,-1.6%,NODATA,25.1%,63.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.81:1 AFR
14.70:1 AFR,53C,40C,94kPa,13.0V,0km,MIL is OFF0 codes,84C,45.9%,NODATA,1219RPM,00:21:29,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,37kPa,-5.5%,NODATA,NODATA,13km/h,-0.8%,NODATA,20.0%,63.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.75:1 AFR
14.70:1 AFR,54C,41C,94kPa,12.0V,0km,MIL is OFF0 codes,84C,57.3%,NODATA,857RPM,00:21:52,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,55kPa,-5.5%,NODATA,NODATA,2km/h,-0.8%,NODATA,20.0%,54.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.84:1 AFR
14.70:1 AFR,55C,41C,94kPa,12.0V,0km,MIL is OFF0 codes,85C,46.3%,NODATA,1142RPM,00:22:13,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,80kPa,-5.5%,NODATA,NODATA,14km/h,-0.8%,NODATA,19.6%,62.0%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.41:1 AFR
14.70:1 AFR,54C,42C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,93.3%,NODATA,1291RPM,00:22:28,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,61kPa,1.6%,NODATA,NODATA,41km/h,0.0%,NODATA,30.6%,55.7%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.52:1 AFR
14.70:1 AFR,55C,42C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,83.9%,NODATA,1890RPM,00:22:43,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,90kPa,2.3%,NODATA,NODATA,31km/h,2.3%,NODATA,30.6%,52.9%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.40:1 AFR
14.70:1 AFR,55C,42C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,93.3%,NODATA,1992RPM,00:22:51,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,83kPa,1.6%,NODATA,NODATA,44km/h,-0.8%,NODATA,29.0%,52.9%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.80:1 AFR
14.70:1 AFR,55C,42C,94kPa,14.0V,0km,MIL is OFF0 codes,86C,87.1%,NODATA,1433RPM,00:22:58,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,80kPa,0.8%,NODATA,NODATA,47km/h,-4.7%,NODATA,26.3%,62.4%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.67:1 AFR
14.70:1 AFR,55C,42C,93kPa,13.0V,0km,MIL is OFF0 codes,84C,78.0%,NODATA,1690RPM,00:23:20,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,87kPa,0.8%,NODATA,NODATA,32km/h,-3.1%,NODATA,25.9%,66.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.73:1 AFR
14.70:1 AFR,55C,42C,94kPa,13.0V,0km,MIL is OFF0 codes,84C,50.2%,NODATA,1273RPM,00:23:27,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,41kPa,-5.5%,NODATA,NODATA,18km/h,0.0%,NODATA,20.0%,59.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.74:1 AFR
14.70:1 AFR,55C,42C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,73.3%,NODATA,1196RPM,00:23:42,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,44kPa,-3.1%,NODATA,NODATA,26km/h,2.3%,NODATA,23.1%,56.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.53:1 AFR
14.70:1 AFR,55C,42C,94kPa,13.0V,0km,MIL is OFF0 codes,84C,89.0%,NODATA,1380RPM,00:24:05,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,52kPa,0.0%,NODATA,NODATA,24km/h,-5.5%,NODATA,25.9%,61.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.61:1 AFR
14.70:1 AFR,55C,42C,94kPa,12.0V,0km,MIL is OFF0 codes,83C,45.9%,NODATA,1210RPM,00:24:20,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,73kPa,-3.1%,NODATA,NODATA,18km/h,0.8%,NODATA,24.7%,62.7%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.62:1 AFR
14.70:1 AFR,55C,42C,94kPa,13.0V,0km,MIL is OFF0 codes,83C,73.3%,NODATA,1623RPM,00:25:04,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,32kPa,-3.9%,NODATA,NODATA,16km/h,2.3%,NODATA,24.3%,67.8%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.41:1 AFR
14.70:1 AFR,55C,42C,94kPa,12.0V,0km,MIL is OFF0 codes,84C,34.5%,NODATA,1207RPM,00:25:11,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,40kPa,-3.9%,NODATA,NODATA,15km/h,2.3%,NODATA,21.2%,65.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.74:1 AFR
14.70:1 AFR,55C,42C,94kPa,12.0V,0km,MIL is OFF0 codes,84C,42.7%,NODATA,1181RPM,00:25:19,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,38kPa,-5.5%,NODATA,NODATA,11km/h,1.6%,NODATA,19.6%,63.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.67:1 AFR
14.70:1 AFR,56C,43C,94kPa,12.0V,0km,MIL is OFF0 codes,85C,49.0%,NODATA,865RPM,00:25:55,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,37kPa,-5.5%,NODATA,NODATA,3km/h,0.0%,NODATA,18.8%,47.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.45:1 AFR
14.70:1 AFR,56C,44C,94kPa,12.0V,0km,MIL is OFF0 codes,85C,62.4%,NODATA,757RPM,00:26:03,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,60kPa,-5.5%,NODATA,NODATA,0km/h,2.3%,NODATA,20.0%,49.0%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.53:1 AFR
14.75:1 AFR,32C,30C,94kPa,13.0V,0km,MIL is OFF0 codes,57C,51.4%,NODATA,990RPM,00:00:34,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,45kPa,-4.7%,NODATA,NODATA,0km/h,1.6%,NODATA,20.0%,52.2%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.34:1 AFR
14.70:1 AFR,32C,30C,94kPa,13.0V,0km,MIL is OFF0 codes,58C,50.6%,NODATA,989RPM,00:00:43,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,69kPa,-3.9%,NODATA,NODATA,4km/h,2.3%,NODATA,20.8%,53.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.21:1 AFR
14.70:1 AFR,32C,30C,94kPa,14.0V,0km,MIL is OFF0 codes,61C,80.0%,NODATA,1248RPM,00:00:53,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,42kPa,-5.5%,NODATA,NODATA,17km/h,-8.6%,NODATA,19.2%,52.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.96:1 AFR
14.70:1 AFR,32C,30C,94kPa,12.0V,0km,MIL is OFF0 codes,64C,47.1%,NODATA,1115RPM,00:01:13,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,50kPa,-4.7%,NODATA,NODATA,12km/h,0.0%,NODATA,20.0%,63.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.23:1 AFR
14.70:1 AFR,33C,30C,94kPa,14.0V,0km,MIL is OFF0 codes,69C,57.6%,NODATA,1487RPM,00:01:42,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,31kPa,-5.5%,NODATA,NODATA,32km/h,-3.1%,NODATA,22.4%,60.4%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.52:1 AFR
14.70:1 AFR,33C,30C,94kPa,13.0V,0km,MIL is OFF0 codes,72C,35.3%,NODATA,1127RPM,00:02:12,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,40kPa,-5.5%,NODATA,NODATA,0km/h,-7.0%,NODATA,18.4%,65.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.36:1 AFR
14.70:1 AFR,33C,30C,94kPa,13.0V,0km,MIL is OFF0 codes,73C,70.6%,NODATA,1521RPM,00:02:22,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,78kPa,0.8%,NODATA,NODATA,21km/h,0.0%,NODATA,28.2%,54.9%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.40:1 AFR
14.70:1 AFR,34C,30C,94kPa,12.0V,0km,MIL is OFF0 codes,76C,47.5%,NODATA,979RPM,00:03:01,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,47kPa,-3.1%,NODATA,NODATA,12km/h,0.0%,NODATA,24.7%,57.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.06:1 AFR
